FMII,44,255660,255704
ATIC,43,255704,255747
IDEA,43,255747,255790
AKPI,42,255790,255832
INDS,42,255832,255874
LMPI,42,255874,255916
COCO,41,255916,255957
GLVA,41,255957,255998
MYTX,41,255998,256039
PLIN,41,256039,256080
UNSP,41,256080,256121
VINS,41,256121,256162
BALI,39,256162,256201
BAYU,39,256201,256240
ECII,39,256240,256279
IMPC,39,256279,256318
GHON,38,256318,256356
MGRO,38,256356,256394
NICK,38,256394,256432
MDRN,37,256432,256469
NATO,37,256469,256506
TCPI,37,256506,256543
HERO,36,256543,256579
IKBI,36,256579,256615
MYOH,36,256615,256651
CMNT,35,256651,256686
BPFI,34,256686,256720
CTTH,34,256720,256754
GAMA,34,256754,256788
INTA,34,256788,256822
MBTO,34,256822,256856
MFIN,34,256856,256890
MKNT,34,256890,256924
CITA,33,256924,256957
LPPS,33,256957,256990
ASPI,32,256990,257022
VOKS,32,257022,257054
JGLE,31,257054,257085
SCCO,31,257085,257116
BRAM,30,257116,257146
CANI,30,257146,257176
IDPR,30,257176,257206
JIHD,30,257206,257236
BINA,29,257236,257265
HDFA,29,257265,257294
MCAS,29,257294,257323
PRAS,29,257323,257352
SNLK,29,257352,257381
BOGA,28,257381,257409
AIMS,27,257409,257436
KONI,27,257436,257463
LION,27,257463,257490
DWGL,26,257490,257516
BMAS,25,257516,257541
MFMI,25,257541,257566
SOSS,25,257566,257591
UANG,25,257591,257616
APLI,24,257616,257640
BUKK,24,257640,257664
GTBO,24,257664,257688
PYFA,24,257688,257712
VICI,24,257712,257736
MTSM,24,257736,257760
INRU,23,257760,257783
LPLI,23,257783,257806
PUDP,23,257806,257829
BIKA,22,257829,257851
BTEK,22,257851,257873
DART,22,257873,257895
DCII,22,257895,257917
EMDE,22,257917,257939
RSGK,22,257939,257961
TBMS,22,257961,257983
YPAS,22,257983,258005
AMOR,21,258005,258026
ETWA,21,258026,258047
PNGO,21,258047,258068
ZBRA,21,258068,258089
DUTI,21,258089,258110
BBSI,20,258110,258130
CASA,20,258130,258150
FIMP,20,258150,258170
GOLD,20,258170,258190
KOPI,20,258190,258210
PGLI,20,258210,258230
POLU,20,258230,258250
TFAS,20,258250,258270
TGKA,20,258270,258290
CINT,19,258290,258309
HELI,19,258309,258328
TCID,19,258328,258347
BHAT,18,258347,258365
KOIN,18,258365,258383
MASA,18,258383,258401
SAPX,18,258401,258419
TRUB,18,258419,258437
OMRE,17,258437,258454
INAI,17,258454,258471
SOHO,17,258471,258488
BTON,16,258488,258504
HADE,16,258504,258520
SRIL,16,258520,258536
FUJI,15,258536,258551
INTD,15,258551,258566
LFLO,15,258566,258581
PORT,15,258581,258596
AGAR,14,258596,258610
BORN,14,258610,258624
KMTR,14,258624,258638
STAR,14,258638,258652
TRST,14,258652,258666
BTEL,13,258666,258679
DAYA,13,258679,258692
MTFN,13,258692,258705
PEGE,13,258705,258718
SIPD,13,258718,258731
ZONE,13,258731,258744
LPGI,12,258744,258756
RDTX,12,258756,258768
BATA,11,258768,258779
CLAY,11,258779,258790
HOTL,11,258790,258801
RISE,11,258801,258812
TMPI,11,258812,258823
ASJT,10,258823,258833
EDGE,10,258833,258843
GLOB,10,258843,258853
MREI,10,258853,258863
TIFA,10,258863,258873
ASBI,9,258873,258882
BOLT,9,258882,258891
DUCK,9,258891,258900
JECC,9,258900,258909
LMSH,9,258909,258918
PTPW,9,258918,258927
BLTZ,8,258927,258935
INPP,8,258935,258943
PGJO,8,258943,258951
POLI,8,258951,258959
PURI,8,258959,258967
RELI,8,258967,258975
FAPA,8,258975,258983
GDYR,8,258983,258991
MAGP,8,258991,258999
ARTI,7,258999,259006
ASIA,7,259006,259013
ASRM,7,259013,259020
ENVY,7,259020,259027
FITT,7,259027,259034
MGNA,7,259034,259041
MYRX,7,259041,259048
ROCK,7,259048,259055
SCNP,7,259055,259062
APIC,7,259062,259069
ARGO,7,259069,259076
FISH,7,259076,259083
IBST,7,259083,259090
PDES,6,259090,259096
BBLD,6,259096,259102
SKLT,6,259102,259108
CPRI,5,259108,259113
DAVO,5,259113,259118
HOME,5,259118,259123
IBFN,5,259123,259128
MAMI,5,259128,259133
NIRO,5,259133,259138
SAFE,5,259138,259143
TRAM,5,259143,259148
TRUS,5,259148,259153
BRAU,4,259153,259157
CNTX,4,259157,259161
SMRU,4,259161,259165
SUGI,4,259165,259169
TDPM,4,259169,259173
LCKM,4,259173,259177
APOL,3,259177,259180
BBMD,3,259180,259183
BUVA,3,259183,259186
CTBN,3,259186,259189
GEMA,3,259189,259192
MABA,3,259192,259195
MASB,3,259195,259198
POSA,3,259198,259201
SIMA,3,259201,259204
TALF,3,259204,259207
XIFE,3,259207,259210
ARTA,3,259210,259213
DEFI,3,259213,259216
JSPT,3,259216,259219
MKPI,3,259219,259222
MPRO,3,259222,259225
SFAN,3,259225,259228
SMMA,3,259228,259231
STTP,3,259231,259234
SUPR,3,259234,259237
TFCO,3,259237,259240
TIRA,3,259240,259243
DSSA,3,259243,259246
PTSP,3,259246,259249
ARMY,2,259249,259251
IIKP,2,259251,259253
INVS,2,259253,259255
KBRI,2,259255,259257
LAPD,2,259257,259259
NUSA,2,259259,259261
RIMO,2,259261,259263
RMBA,2,259263,259265
SIAP,2,259265,259267
MYRXP,2,259267,259269
ABDA,2,259269,259271
BPII,2,259271,259273
BRNA,2,259273,259275
FASW,2,259275,259277
PNSE,2,259277,259279
SOTS,2,259279,259281
SURE,2,259281,259283
WICO,2,259283,259285
IPAC,2,259285,259287
DPUM,1,259287,259288
ITTG,1,259288,259289
JKSW,1,259289,259290
KPAS,1,259290,259291
POOL,1,259291,259292
CSMI,1,259292,259293
LIFE,1,259293,259294
YULE,1,259294,259295
SHID,1,259295,259296
PLAS,1,259296,259297
GREN,1,259297,259298
CPGT,1,259298,259299
RONY,1,259299,259300
OTH1,1203,259300,260503
OTH2,1203,260503,261706
OTH3,1203,261706,262909
OTH4,1203,262909,264112
OTH5,1203,264112,265315
OTH6,1203,265315,266518
